,body_title,Tags
0,"['I', 'got', 'c#', 'code', 'relies', 'today', 'date', 'correctly', 'calculate', 'thing', 'future', 'use', 'today', 'date', 'testing', 'repeat', 'calculation', 'test', 'doe', 'feel', 'right', 'best', 'way', 'set', 'date', 'known', 'value', 'within', 'test', 'test', 'result', 'known', 'value', 'good', 'way', 'overwrite', 'datetimenow', 'testing']",['c_sharp']
1,"['best', 'way', 'extend', 'user', 'model', 'bundled', 'djangos', 'authentication', 'app', 'custom', 'field', 'would', 'also', 'possibly', 'like', 'use', 'email', 'username', 'authentication', 'purpose', 'I', 'already', 'seen', 'way', 'cannot', 'decide', 'one', 'best', 'extending', 'user', 'model', 'custom', 'field', 'django']",[]
2,"['found', 'wild', 'remark', 'aspnet', 'mvc', 'x', 'faster', 'aspnet', 'webforms', 'real', 'performance', 'difference', 'ha', 'measured', 'performance', 'benefit', 'help', 'consider', 'moving', 'aspnet', 'webforms', 'aspnet', 'mvc', 'aspnet', 'mvc', 'performance']","['aspnet', 'aspnetmvc', 'performance']"
3,"['like', 'title', 'say', 'reflection', 'give', 'name', 'currently', 'executing', 'method', 'I', 'inclined', 'guess', 'heisenberg', 'problem', 'call', 'method', 'tell', 'current', 'method', 'without', 'changing', 'current', 'method', 'I', 'hoping', 'someone', 'prove', 'wrong', 'update', 'part', 'could', 'used', 'look', 'inside', 'code', 'property', 'well', 'part', 'would', 'performance', 'like', 'final', 'result', 'learned', 'methodbasegetcurrentmethod', 'also', 'learned', 'create', 'stack', 'trace', 'create', 'exact', 'frame', 'need', 'want', 'use', 'inside', 'property', 'take', 'substring', 'remove', 'set', 'get', 'use', 'reflection', 'find', 'name', 'currently', 'executing', 'method']",['net']
4,"['need', 'two', 'use', 'one', 'another', 'sid', 'different', 'service', 'name', 'oracle', 'tnsnamesora']",['database']
5,"['looking', 'way', 'concatenate', 'string', 'field', 'within', 'group', 'query', 'example', 'table', 'id', 'companyid', 'employee', 'anna', 'bill', 'carol', 'dave', 'wanted', 'group', 'companyid', 'get', 'something', 'like', 'companyid', 'employee', 'anna', 'bill', 'carol', 'dave', 'builtin', 'function', 'mysql', 'groupconcat', 'concatenate', 'string', 'string', 'field', 'postgresql', 'group', 'query']",['sql']
6,"['get', 'error', 'message', 'javanetsocketexception', 'socket', 'failed', 'eacces', 'permission', 'denied', 'try', 'apply', 'code', 'function', 'call', 'give', 'exception', 'public', 'void', 'run', 'todo', 'autogenerated', 'method', 'stub', 'url', 'myurl', 'null', 'try', 'myurl', 'new', 'urlhttplistjson', 'catch', 'malformedurlexception', 'e', 'todo', 'autogenerated', 'catch', 'block', 'eprintstacktrace', 'try', 'urlconnection', 'myconn', 'myurlopenconnection', 'inputstream', 'new', 'bufferedinputstreammyconngetinputstream', 'inputstreamreader', 'reader', 'new', 'inputstreamreaderin', 'bufferedreader', 'br', 'new', 'bufferedreaderreader', 'string', 'line', 'stringbuilder', 'sb', 'new', 'stringbuilder', 'linebrreadline', 'null', 'sbappendline', 'toastmaketextgetapplicationcontext', 'enter', 'toastlengthlongshow', 'jsoncode', 'sbtostring', 'catch', 'ioexception', 'e', 'todo', 'autogenerated', 'catch', 'block', 'eprintstacktrace', 'threading', 'true', 'superrun', 'logcat', 'wsystemerr', 'javanetsocketexception', 'socket', 'failed', 'eacces', 'permission', 'denied', 'wsystemerr', 'libcoreioiobridgesocketiobridgejava', 'wsystemerr', 'javanetplainsocketimplcreateplainsocketimpljava', 'wsystemerr', 'javanetsocketcheckopenandcreatesocketjava', 'wsystemerr', 'javanetsocketconnectsocketjava', 'wsystemerr', 'libcorenethttphttpconnectioninithttpconnectionjava', 'wsystemerr', 'libcorenethttphttpconnectioninithttpconnectionjava', 'wsystemerr', 'libcorenethttphttpconnectionaddressconnecthttpconnectionjava', 'wsystemerr', 'libcorenethttphttpconnectionpoolgethttpconnectionpooljava', 'wsystemerr', 'libcorenethttphttpconnectionconnecthttpconnectionjava', 'wsystemerr', 'libcorenethttphttpengineopensocketconnectionhttpenginejava', 'wsystemerr', 'libcorenethttphttpengineconnecthttpenginejava', 'wsystemerr', 'libcorenethttphttpenginesendsocketrequesthttpenginejava', 'wsystemerr', 'libcorenethttphttpenginesendrequesthttpenginejava', 'wsystemerr', 'libcorenethttphttpurlconnectionimplgetresponsehttpurlconnectionimpljava', 'wsystemerr', 'libcorenethttphttpurlconnectionimplgetinputstreamhttpurlconnectionimpljava', 'wsystemerr', 'comapkpitestactivityconnectionrunpitestactivityjava', 'wsystemerr', 'caused', 'libcoreioerrnoexception', 'socket', 'failed', 'eacces', 'permission', 'denied', 'wsystemerr', 'libcoreioposixsocketnative', 'method', 'wsystemerr', 'libcoreioblockguardossocketblockguardosjava', 'wsystemerr', 'libcoreioiobridgesocketiobridgejava', 'wsystemerr', 'manifest', 'file', 'xml', 'version', 'encodingutf', 'manifest', 'xmlnsandroidhttpschemasandroidcomapkresandroid', 'packagecomapk', 'androidversioncode', 'androidversionname', 'usessdk', 'androidminsdkversion', 'permission', 'androidnameandroidpermissioninternetpermission', 'application', 'androidicondrawableiclauncher', 'androidlabelstringappname', 'activity', 'androidnamepitestactivity', 'androidlabelstringappname', 'intentfilter', 'action', 'androidnameandroidintentactionmain', 'category', 'androidnameandroidintentcategorylauncher', 'intentfilter', 'activity', 'activity', 'androidnameaddfriendactivity', 'activity', 'androidnameupdatedetailsactivity', 'activity', 'androidnamedetailsactivity', 'activity', 'androidnameupdateimageactivity', 'application', 'manifest', 'fix', 'problem', 'error', 'message', 'javanetsocketexception', 'socket', 'failed', 'eacces', 'permission', 'denied']","['android', 'json']"
7,"['original', 'question', 'want', 'able', 'generate', 'new', 'fully', 'valid', 'mp', 'file', 'existing', 'mp', 'file', 'used', 'preview', 'trybeforeyoubuy', 'style', 'new', 'file', 'contain', 'first', 'n', 'second', 'track', 'know', 'could', 'chop', 'stream', 'n', 'second', 'calculating', 'bitrate', 'header', 'size', 'delivering', 'file', 'bit', 'dirty', 'real', 'pita', 'vbr', 'track', 'id', 'like', 'able', 'generate', 'proper', 'mp', 'file', 'anyone', 'idea', 'answer', 'mpsplit', 'ffmpeg', 'good', 'solution', 'chose', 'ffmpeg', 'commonly', 'installed', 'linux', 'server', 'also', 'easily', 'available', 'window', 'good', 'command', 'line', 'parameter', 'generating', 'preview', 'ffmpeg', 'second', 'chop', 'specified', 'number', 'second', 'force', 'file', 'overwrite', 'ab', 'bitrate', 'set', 'bitrate', 'eg', 'ab', 'k', 'ar', 'rate', 'hz', 'set', 'sampling', 'rate', 'eg', 'ar', 'khz', 'mapmetadata', 'outfileinfile', 'copy', 'track', 'metadata', 'infile', 'outfile', 'instead', 'setting', 'ab', 'ar', 'copy', 'original', 'track', 'setting', 'tim', 'farley', 'suggests', 'acodec', 'copy', 'crop', 'mp', 'first', 'second']",[]
8,"['I', 'trying', 'determine', 'best', 'way', 'truncate', 'drop', 'extra', 'decimal', 'place', 'sql', 'without', 'rounding', 'example', 'declare', 'value', 'decimal', 'set', 'value', 'automatically', 'round', 'value', 'good', 'case', 'however', 'project', 'need', 'simple', 'way', 'truncate', 'decimal', 'need', 'know', 'use', 'left', 'function', 'convert', 'back', 'decimal', 'way', 'truncate', 'round', 'decimal', 'place', 'sql', 'server']","['sql', 'sqlserver']"
9,"['application', 'read', 'csv', 'file', 'pile', 'data', 'row', 'give', 'user', 'summary', 'number', 'row', 'based', 'type', 'data', 'want', 'make', 'sure', 'read', 'many', 'row', 'data', 'outofmemoryerrors', 'row', 'translates', 'object', 'easy', 'way', 'find', 'size', 'object', 'programmatically', 'reference', 'defines', 'large', 'primitive', 'type', 'object', 'reference', 'vm', 'right', 'code', 'say', 'read', 'row', 'id', 'also', 'like', 'code', 'say', 'read', 'many', 'row', 'possible', 'I', 'used', 'mb', 'memory', 'maybe', 'different', 'question', 'id', 'still', 'like', 'know', 'java', 'best', 'way', 'determine', 'size', 'object']",['java']
